<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 6-й - окончание</t><br />
Rng 	Elev	Elev -100 m<br />
6450	718 	-1,6<br />
6500	723 	-1,7<br />
6550	728 	-1,7<br />
6600	733 	-1,9<br />
6650	738 	-2,0<br />
6700	743 	-2,2<br />
6750	748 	-2,5<br />
6800	754 	-2,9<br />
6850	760 	-3,3<br />
6900	766 	-3,9<br />
6950	773 	-4,6<br />
7000	780 	-5,4<br />
7050	787 	-6,4<br />
7100	795 	-7,5<br />
7150	803 	-8,8<br />
7200	812 	-10,4<br />
7250	822 	-12,1<br />
7300	832 	-14,2<br />
7350	843 	-16,5<br />
7400	855 	-19,1<br />
7450	868 	-22,1<br />
7500	881 	-25,4<br />
7550	896 	-29,2<br />
7600	912 	-33,4<br />
7650	929 	-38,0<br />
7700	948 	-43,2<br />
7750	968 	-48,9<br />
7800	989 	-55,3
