<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 3-й</t><br />
Rng 	Elev	Elev -100 m<br />
1000	356 	-20,3<br />
1100	370 	-24,5<br />
1200	385 	-25,9<br />
1300	402 	-24,7<br />
1400	421 	-21,1<br />
1500	439 	-15,7<br />
1600	458 	-9,4<br />
1700	477 	-3,0<br />
1800	495 	2,8<br />
1850	504 	5,3<br />
1900	513 	7,3<br />
1950	522 	8,9<br />
2000	530 	10,0<br />
2050	538 	10,7<br />
2100	547 	10,8<br />
2150	555 	10,4<br />
2200	562 	9,5<br />
2250	570 	8,2<br />
2300	578 	6,4<br />
2350	585 	4,4<br />
2400	593 	2,0<br />
2450	600 	-0,5<br />
2500	607 	-3,1<br />
2550	615 	-5,7<br />
2600	622 	-8,3<br />
2650	630 	-10,7<br />
2700	638 	-12,8<br />
2750	646 	-14,6<br />
2800	654 	-15,9<br />
2850	663 	-16,9<br />
2900	672 	-17,3<br />
2950	682 	-17,3<br />
3000	692 	-16,8<br />
3050	703 	-16,0<br />
3100	714 	-14,8<br />
3150	727 	-13,5<br />
3200	740 	-12,4<br />
3250	755 	-11,5<br />
3300	771 	-11,4<br />
3350	787 	-12,4<br />
3400	806 	-15,0<br />
3450	825 	-19,7<br />
3500	847 	-27,4<br />
3550	870 	-38,8<br />
3600	895 	-54,7<br />
3650	921 	-76,2<br />
3700	950	<br />
3750	982	
