<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 5-й</t><br />
Rng 	Elev	Elev -100 m<br />
1700	350 	-31,3<br />
1750	357 	-29,6<br />
1800	364 	-27,7<br />
1850	371 	-25,6<br />
1900	377 	-23,3<br />
1950	384 	-21,0<br />
2000	391 	-18,6<br />
2050	398 	-16,3<br />
2100	405 	-13,9<br />
2150	411 	-11,7<br />
2200	418 	-9,5<br />
2250	424 	-7,4<br />
2300	430 	-5,5<br />
2350	436 	-3,7<br />
2400	441 	-2,0<br />
2450	447 	-0,4<br />
2500	452 	1,0<br />
2550	457 	2,2<br />
2600	461 	3,3<br />
2650	466 	4,2<br />
2700	470 	5,0<br />
2750	475 	5,7<br />
2800	479 	6,3<br />
2850	483 	6,7<br />
2900	487 	7,0<br />
2950	491 	7,3<br />
3000	494 	7,4<br />
3050	498 	7,5<br />
3100	502 	7,5<br />
3150	506 	7,5<br />
3200	509 	7,5<br />
3250	513 	7,5<br />
3300	517 	7,5<br />
3350	521 	7,4<br />
3400	525 	7,5<br />
3450	529 	7,5<br />
3500	534 	7,6<br />
3550	538 	7,8<br />
3600	542 	8,1<br />
3650	547 	8,5<br />
3700	552 	8,9<br />
3750	557 	9,5<br />
3800	562 	10,2<br />
3850	567 	11,1<br />
3900	572 	12,0<br />
3950	578 	13,2<br />
4000	583 	14,4<br />
см. на обороте
