<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 6-й</t><br />
Rng 	Elev	Elev -100 m<br />
1700	352 	3,5<br />
1750	355 	3,7<br />
1800	359 	3,9<br />
1850	362 	4,0<br />
1900	366 	4,0<br />
1950	369 	3,9<br />
2000	373 	3,7<br />
2050	377 	3,5<br />
2100	380 	3,2<br />
2150	384 	2,9<br />
2200	388 	2,6<br />
2250	392 	2,3<br />
2300	395 	1,9<br />
2350	399 	1,6<br />
2400	403 	1,2<br />
2450	406 	0,9<br />
2500	410 	0,6<br />
2550	414 	0,3<br />
2600	417 	0,0<br />
2650	420 	-0,3<br />
2700	424 	-0,5<br />
2750	427 	-0,7<br />
2800	430 	-0,9<br />
2850	434 	-1,1<br />
2900	437 	-1,2<br />
2950	440 	-1,4<br />
3000	443 	-1,4<br />
3050	446 	-1,5<br />
3100	449 	-1,5<br />
3150	452 	-1,6<br />
3200	455 	-1,5<br />
3250	458 	-1,5<br />
3300	461 	-1,5<br />
3350	464 	-1,4<br />
3400	467 	-1,3<br />
3450	470 	-1,2<br />
3500	473 	-1,1<br />
3550	477 	-1,0<br />
3600	480 	-0,9<br />
3650	483 	-0,8<br />
3700	486 	-0,6<br />
3750	489 	-0,5<br />
3800	492 	-0,3<br />
3850	495 	-0,2<br />
3900	499 	-0,1<br />
3950	502 	0,0<br />
4000	505 	0,2<br />
4050	509 	0,3<br />
см. на обороте
