<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 5-й - окончание</t><br />
Rng 	Elev	Elev -100 m<br />
4050	589 	15,9<br />
4100	595 	17,5<br />
4150	600 	19,2<br />
4200	606 	21,1<br />
4250	612 	23,2<br />
4300	618 	25,5<br />
4350	625 	27,9<br />
4400	631 	30,5<br />
4450	637 	33,3<br />
4500	643 	36,2<br />
4550	649 	39,3<br />
4600	656 	42,6<br />
4650	662 	46,0<br />
4700	668 	49,6<br />
4750	674 	53,4<br />
4800	680 	57,3<br />
4850	686 	61,3<br />
4900	693 	65,5<br />
4950	699 	69,9<br />
5000	705 	74,4<br />
5050	711 	79,0<br />
5100	717 	83,8<br />
5150	723 	88,7<br />
5200	729 	93,8<br />
5250	736 	99,1<br />
5300	742	<br />
5350	749	<br />
5400	756	<br />
5450	764	<br />
5500	771	<br />
5550	780	<br />
5600	789	<br />
5650	798	<br />
5700	809	<br />
5750	820	<br />
5800	833	<br />
5850	847	<br />
5900	862	<br />
5950	879	<br />
6000	898	<br />
6050	919	<br />
6100	942	<br />
6150	968	<br />
6200	997	
